date,title,link,content,sentiment,label,hannanum_tokens
2024-11-04 21:34:16,한데 모인 ‘삼성전자 역사’...합격 통지서부터 식권까지 각양각색,https://n.news.naver.com/mnews/article/243/0000067452?sid=105,한데 모인 ‘삼성전자 역사’...합격 통지서부터 식권까지 각양각색,[0.5129027  0.48709735],긍정,"['하', 'ㄴ데', '모이', 'ㄴ', '‘삼성전자', '역사’', '...', '합격', '통지서', '부터', '식권', '까지', '각양각색']"
2024-11-04 18:47:17,[테헤란로] 삼성전자와 검은 고양이,https://n.news.naver.com/mnews/article/014/0005263008?sid=110,[테헤란로] 삼성전자와 검은 고양이,[0.5146634  0.48533657],긍정,"['[', '테헤란', '로', ']', '삼성전자', '와', '걸', 'ㅁ', '은', '고양이']"
2024-11-04 18:02:25,'밸류업 ETF' 구성종목에 삼성전자가 없다?,https://n.news.naver.com/mnews/article/015/0005052861?sid=101,'밸류업 ETF' 구성종목에 삼성전자가 없다?,[0.5164444 0.4835556],긍정,"[""'"", '밸류업', 'ETF', ""'"", '구성종목', '에', '삼성전자', '가', '없', '다', '?']"
2024-11-04 17:49:11,"삼성전자, 갤럭시 Z폴드 스페셜 에디션 판매 재개한 날 '완판'(종합)",https://n.news.naver.com/mnews/article/001/0015025279?sid=105,"삼성전자, 갤럭시 Z폴드 스페셜 에디션 판매 재개한 날 '완판'(종합)",[0.52242357 0.47757643],긍정,"['삼성전자', ',', '갤럭시', 'Z폴드', '스페셜', '에디션', '판매', '재개', '하', 'ㄴ', '나', 'ㄹ', ""'완판"", ""'("", '종합', ')']"
2024-11-04 17:11:07,창립 55주년 삼성전자…주가는 5만5000원 가나?,https://n.news.naver.com/mnews/article/117/0003885435?sid=103,창립 55주년 삼성전자…주가는 5만5000원 가나?,[0.51425207 0.48574793],긍정,"['창립', '55주년', '삼성전자…주가', '는', '5만5000원', '가', '아', '나', '아', '?']"
2024-11-04 16:32:09,최태원 “젠슨 황 엔비디아 CEO가 직접 HBM4 조기 출시 요청”…주가 6.48% 급등 [투자360],https://n.news.naver.com/mnews/article/016/0002383381?sid=101,최태원 “젠슨 황 엔비디아 CEO가 직접 HBM4 조기 출시 요청”…주가 6.48% 급등 [투자360],[0.5231819  0.47681808],긍정,"['최태원', '“젠슨', '황', '엔비디아', 'CEO', '가', '직접', 'HBM4', '조', '이', '기', '출시', '요청”…주', '가', '6.48', '%', '급등', '[투자360', ']']"
2024-11-04 16:28:16,"최태원 ""삼성전자와 접근법 달라…누가 더 잘한다 말하기 어려워""",https://n.news.naver.com/mnews/article/014/0005262850?sid=101,"최태원 ""삼성전자와 접근법 달라…누가 더 잘한다 말하기 어려워""",[0.5192901  0.48070997],긍정,"['최태원', '""', '삼성전자', '와', '접근법', '달라…누', '가', '더', '잘하', 'ㄴ다', '말하기', '어렵', '어', '""']"
2024-11-04 16:15:11,"최태원 “삼성전자, SK하이닉스보다 많은 기술 보유…AI 흐름 타고 성과낼 것”",https://n.news.naver.com/mnews/article/366/0001029464?sid=105,"최태원 “삼성전자, SK하이닉스보다 많은 기술 보유…AI 흐름 타고 성과낼 것”",[0.51727474 0.4827253 ],긍정,"['최태원', '“삼성전자,', 'SK하이닉스', '보다', '많', '은', '기술', '보유…AI', '흐르', 'ㅁ', '타', '고', '성과낼', '것”']"
2024-11-04 11:35:29,부실 커진 삼성전자 파운드리…HBM 양산에서도 밀릴까,https://n.news.naver.com/mnews/article/003/0012882602?sid=101,부실 커진 삼성전자 파운드리…HBM 양산에서도 밀릴까,[0.5124928  0.48750716],긍정,"['부', '이', '시ㄹ', '크', '어', '지', 'ㄴ', '삼성전자', '파운드리…HBM', '양산', '에서도', '밀', '리ㄹ까']"
2024-11-04 10:08:07,"""삼성전자 탓""…국내 인덱스 펀드 수익률, 액티브보다 부진",https://n.news.naver.com/mnews/article/029/0002913181?sid=101,"""삼성전자 탓""…국내 인덱스 펀드 수익률, 액티브보다 부진",[0.51976794 0.48023206],부정,"['""', '삼성전자', '탓""…국내', '인덱스', '펀드', '수익률', ',', '액티브보다', '부진']"
2024-11-04 09:41:43,美 빅테크주 강세에 삼성전자·SK하이닉스 1%대 동반강세[핫종목],https://n.news.naver.com/mnews/article/421/0007885093?sid=101,美 빅테크주 강세에 삼성전자·SK하이닉스 1%대 동반강세[핫종목],[0.5222746 0.4777254],긍정,"['美', '빅테크주', '강세', '에', '삼성전자·SK하이닉스', '1', '%', '대', '동반강세[핫종목', ']']"
2024-11-04 09:38:18,해태제과 에이스·오예스 품은 삼성전자 갤럭시 버즈,https://n.news.naver.com/mnews/article/014/0005262465?sid=101,해태제과 에이스·오예스 품은 삼성전자 갤럭시 버즈,[0.52442974 0.4755703 ],긍정,"['해태제', '과', '에이스·오예스', '풀', 'ㅁ', '은', '삼성전자', '갤럭시', '버즈']"
2024-11-04 09:30:44,개미 '줍줍' 코스피 강보합…삼성전자·하이닉스 동반↑,https://n.news.naver.com/mnews/article/008/0005109385?sid=101,개미 '줍줍' 코스피 강보합…삼성전자·하이닉스 동반↑,[0.5211164  0.47888362],긍정,"['개미', ""'줍줍'"", '코스피', '강보합…삼성전자·하이닉스', '동반↑']"
2024-11-04 09:30:09,"""아이폰보다 갤럭시"" 삼성전자, 14억 인도 시장서 스마트폰 점유율 1위",https://n.news.naver.com/mnews/article/053/0000046624?sid=101,"""아이폰보다 갤럭시"" 삼성전자, 14억 인도 시장서 스마트폰 점유율 1위",[0.52034545 0.47965458],긍정,"['""아이폰보다', '갤럭시', '""', '삼성전자', ',', '14억', '인도', '시장', '서', '스마트폰', '점유율', '1위']"
2024-11-04 09:27:12,[특징주]美 반도체주 반등 속 삼성전자 1% 강세,https://n.news.naver.com/mnews/article/018/0005876294?sid=101,[특징주]美 반도체주 반등 속 삼성전자 1% 강세,[0.51448184 0.48551816],긍정,"['[', '특징주', ']', '美', '반도체주', '반등', '속', '삼성전자', '1', '%', '강세']"
2024-11-04 09:16:12,"삼성전자, ‘갤럭시Z폴드SE’ 2차 판매",https://n.news.naver.com/mnews/article/011/0004410591?sid=105,"삼성전자, ‘갤럭시Z폴드SE’ 2차 판매",[0.5216613  0.47833866],긍정,"['삼성전자', ',', '‘갤럭시Z폴드SE’', '2차', '판매']"
2024-11-04 08:27:11,사상 초유의 위기 삼성전자…‘임원 토론회’로 쇄신안 찾는다,https://n.news.naver.com/mnews/article/021/0002669375?sid=101,사상 초유의 위기 삼성전자…‘임원 토론회’로 쇄신안 찾는다,[0.5183547  0.48164535],부정,"['사상', '초유', '의', '위', '이', '기', '삼성전자…‘임원', '토론회’', '로', '쇄신안', '찾', '는다']"
2024-11-04 00:36:07,[뉴스룸에서] 삼성전자의 쓸쓸한 55살 생일,https://n.news.naver.com/mnews/article/005/0001735952?sid=110,[뉴스룸에서] 삼성전자의 쓸쓸한 55살 생일,[0.51534057 0.48465934],긍정,"['[', '뉴스룸', '에서', ']', '삼성전자', '의', '쓸쓸', '하', 'ㄴ', '55살', '생일']"
2024-11-03 17:54:13,"""삼성전자에 10조 묶였다""…1년 내내 '세계 꼴찌' 국장 어쩌나",https://n.news.naver.com/mnews/article/015/0005052360?sid=101,"""삼성전자에 10조 묶였다""…1년 내내 '세계 꼴찌' 국장 어쩌나",[0.5165448  0.48345515],긍정,"['""', '삼성전자', '에', '10조', '묶였다""…1년', '내', '어', '내', '어', ""'"", '세계', '꼴찌', ""'"", '국장', '어쩌', '나']"
2024-11-03 17:42:07,"""삼성전자 시총보다 많네""…바핏, 사상 최대 현금 보유",https://n.news.naver.com/mnews/article/029/0002913090?sid=101,"""삼성전자 시총보다 많네""…바핏, 사상 최대 현금 보유",[0.5212013  0.47879875],긍정,"['""', '삼성전자', '시총보다', '많네""…바핏,', '사상', '최대', '현금', '보유']"
2024-11-03 11:03:44,삼성전자 DS 수장 전영현 취임 후 첫 임원 토론회 열어,https://n.news.naver.com/mnews/article/277/0005494112?sid=101,삼성전자 DS 수장 전영현 취임 후 첫 임원 토론회 열어,[0.5295307 0.4704693],긍정,"['삼성전자', 'DS', '수장', '전영현', '취', '이', 'ㅁ', '후', '첫', '임원', '토론회', '열', '어']"
2024-11-03 09:39:02,"삼성전자, 3분기 인도 스마트폰 시장서 매출 점유율 1위",https://n.news.naver.com/mnews/article/214/0001384116?sid=101,"삼성전자, 3분기 인도 스마트폰 시장서 매출 점유율 1위",[0.5182635 0.4817365],긍정,"['삼성전자', ',', '3분기', '인도', '스마트폰', '시장', '서', '매출', '점유율', '1위']"
2024-11-03 08:01:11,"印 국민 5명 중 1명은 ‘갤럭시’…삼성전자, 5G폰 시장서도 ‘톱티어’ [헬로 인디아]",https://n.news.naver.com/mnews/article/016/0002382679?sid=101,"印 국민 5명 중 1명은 ‘갤럭시’…삼성전자, 5G폰 시장서도 ‘톱티어’ [헬로 인디아]",[0.517532   0.48246804],긍정,"['印', '국민', '5명', '중', '1명', '은', '‘갤럭시’…삼성전자,', '5G폰', '시장', '서도', '‘톱티어’', '[', '헬로', '인디', '아', ']']"
2024-11-03 06:03:00,"'HBM' 배수진 친 삼성전자 ""6세대서 승부""…이번주 조직개편",https://n.news.naver.com/mnews/article/421/0007883818?sid=101,"'HBM' 배수진 친 삼성전자 ""6세대서 승부""…이번주 조직개편",[0.5199962 0.4800038],긍정,"[""'"", 'HBM', ""'"", '배수진', '치', 'ㄴ', '삼성전자', '""', '6세대', '서', '승부""…이번주', '조직개편']"
2024-11-02 01:42:42,창립 55주년 삼성전자 “기술 리더십 강화에 사활”,https://n.news.naver.com/mnews/article/020/0003595813?sid=102,창립 55주년 삼성전자 “기술 리더십 강화에 사활”,[0.5177527  0.48224723],긍정,"['창립', '55주년', '삼성전자', '“기술', '리더십', '강화', '에', '사활”']"
2024-11-01 17:51:13,"""한때 '돈줄'이었는데 이럴 수가""…삼성·SK '초강수' 던졌다",https://n.news.naver.com/mnews/article/015/0005052056?sid=101,"""한때 '돈줄'이었는데 이럴 수가""…삼성·SK '초강수' 던졌다",[0.49812907 0.50187093],중립,"['""', '하', 'ㄴ', '때', ""'"", '돌', 'ㄴ', '줄', ""'"", '이', '었는데', '이럴', '수가""…삼성·SK', ""'"", '초강수', ""'"", '던지', '었다']"
2024-11-01 17:43:32,'3명 사상' 삼성전자 이산화탄소 누출 책임자 일부 1심 유죄→무죄 뒤집혀,https://n.news.naver.com/mnews/article/003/0012879828?sid=102,'3명 사상' 삼성전자 이산화탄소 누출 책임자 일부 1심 유죄→무죄 뒤집혀,[0.5157081 0.4842919],긍정,"[""'"", '3명', '사상', ""'"", '삼성전자', '이산화탄소', '누출', '책임자', '일부', '1심', '유죄→무죄', '뒤집히', '어']"
2024-11-01 16:44:13,‘위기 속’ 55주년 삼성전자 “기술 리더십에 사활 걸자” 기념사,https://n.news.naver.com/mnews/article/020/0003595753?sid=101,‘위기 속’ 55주년 삼성전자 “기술 리더십에 사활 걸자” 기념사,[0.5069895  0.49301052],부정,"['‘위', '이', '기', '속’', '55주년', '삼성전자', '“기술', '리더십', '에', '사활', '걸자”', '기념사']"
2024-11-01 16:34:30,"한종희 삼성전자 부회장 ""기술이 패러다임 바꿀 유일한 방법""(종합)",https://n.news.naver.com/mnews/article/421/0007882662?sid=101,"한종희 삼성전자 부회장 ""기술이 패러다임 바꿀 유일한 방법""(종합)",[0.51978487 0.48021522],긍정,"['한종희', '삼성전자', '부회장', '""', '기술', '이', '패러다임', '바꾸', 'ㄹ', '유일한', '방법', '""(', '종합', ')']"
