date,title,link,content,sentiment,label,hannanum_tokens
2024-09-29 19:35:15,'야심작' 애플 비전 프로는 왜 중고시장 애물단지 됐나 [IT+],https://n.news.naver.com/mnews/article/665/0000003752?sid=105,'야심작' 애플 비전 프로는 왜 중고시장 애물단지 됐나 [IT+],[0.5177973 0.4822027],부정,"[""'"", '야심작', ""'"", '애플', '비전', '프로', '는', '왜', '중고시장', '애물단지', '되', '었나', '[IT+', ']']"
2024-09-29 17:51:07,국대 최대 큰 손이 눈독 들이는 이 업종…미국만 움직여주면 된다는데,https://n.news.naver.com/mnews/article/009/0005371919?sid=101,국대 최대 큰 손이 눈독 들이는 이 업종…미국만 움직여주면 된다는데,[0.5125519 0.4874481],중립,"['국대', '최대', '크', 'ㄴ', '손', '이', '눈독', '들이', '는', '이', '업종…미국만', '움직이', '어', '주', '면', '되', 'ㄴ다는데']"
2024-09-29 12:00:00,"""OO페이, 카드보다 더 쓴다"" 상반기 모바일로 일평균 1.5조 결제",https://n.news.naver.com/mnews/article/003/0012810109?sid=101,"""OO페이, 카드보다 더 쓴다"" 상반기 모바일로 일평균 1.5조 결제",[0.52188855 0.47811148],긍정,"['""', 'OO', '페이', ',', '카드', '보다', '더', '쓰', 'ㄴ다', '""', '상반기', '모바일', '로', '일평균', '1.5조', '결제']"
2024-09-29 10:16:08,가상현실 대결 펴는 빅테크…애플 내년 하반기 MR 헤드셋 비전프로2 양산,https://n.news.naver.com/mnews/article/029/0002905335?sid=105,가상현실 대결 펴는 빅테크…애플 내년 하반기 MR 헤드셋 비전프로2 양산,[0.5259137  0.47408628],긍정,"['가상현실', '대결', '피', '어는', '빅테크…애플', '내년', '하반기', 'MR', '헤드셋', '비전프로2', '양산']"
2024-09-29 10:06:20,"서학개미 ""잘 먹고 갑니다""…애플·테슬라 '매도'",https://n.news.naver.com/mnews/article/215/0001181534?sid=101,"서학개미 ""잘 먹고 갑니다""…애플·테슬라 '매도'",[0.51870716 0.4812929 ],중립,"['서학개미', '""', '잘', '먹', '고', '갑니다""…애플·테슬라', ""'"", '매도', ""'""]"
2024-09-29 09:01:08,9월 서학개미 장바구니서 자취 감춘 엔비디아·애플·테슬라…왜?  [투자360],https://n.news.naver.com/mnews/article/016/0002368025?sid=101,9월 서학개미 장바구니서 자취 감춘 엔비디아·애플·테슬라…왜?  [투자360],[0.51768315 0.4823169 ],중립,"['9월', '서학개미', '장바구니', '서', '자취', '감추', 'ㄴ', '엔비디아·애플·테슬라…왜', '?', '[투자360', ']']"
2024-09-29 06:31:11,"""애플이 못한 걸 너희가?"" 비난 폭주하는데…'놀라운 반전' [조아라의 차이나스톡]",https://n.news.naver.com/mnews/article/015/0005038269?sid=101,"""애플이 못한 걸 너희가?"" 비난 폭주하는데…'놀라운 반전' [조아라의 차이나스톡]",[0.5108457  0.48915422],중립,"['""', '애플', '이', '못하', 'ㄴ', '거', 'ㄹ', '너희', '가', '?""', '비난', ""폭주하는데…'놀라운"", '반전', ""'"", '[', '조아라', '의', '차이나스톡', ']']"
2024-09-29 00:22:13,"WSJ “애플, 오픈AI 투자 논의 중단”",https://n.news.naver.com/mnews/article/366/0001020875?sid=104,"WSJ “애플, 오픈AI 투자 논의 중단”",[0.5219229 0.4780771],중립,"['WSJ', '“애플,', '오픈AI', '투', '이', '자', '논', '의', '중단”']"
2024-09-28 19:41:10,"“갤레기 써요?” ‘아재 낙인’ 억울했는데…삼성, 애플 텃밭서 역대급 ‘반전’",https://n.news.naver.com/mnews/article/016/0002367971?sid=105,"“갤레기 써요?” ‘아재 낙인’ 억울했는데…삼성, 애플 텃밭서 역대급 ‘반전’",[0.5123521  0.48764783],중립,"['“갤레', '이', '기', '쓰', '어', '요', '?', '”', '‘아재', '낙인’', '억울했는데…삼성,', '애플', '텃밭', '서', '역대급', '‘반전’']"
2024-09-28 17:27:31,"아이폰에 챗GPT 적용한다는데…""애플, 오픈AI 투자 막판 포기""",https://n.news.naver.com/mnews/article/008/0005094873?sid=104,"아이폰에 챗GPT 적용한다는데…""애플, 오픈AI 투자 막판 포기""",[0.5175696  0.48243037],중립,"['아이폰', '에', '챗GPT', '적용한다는데…""애플,', '오픈AI', '투', '이', '자', '막판', '포기', '""']"
2024-09-28 11:00:15,"애플, 오픈AI 투자에 참여 않는다...MS 엔비디아등서 자금 조달",https://n.news.naver.com/mnews/article/009/0005371591?sid=105,"애플, 오픈AI 투자에 참여 않는다...MS 엔비디아등서 자금 조달",[0.5121441  0.48785588],긍정,"['애플', ',', '오픈AI', '투자', '에', '참여', '않', '는다', '...', 'MS', '엔비디아등서', '자금', '조달']"
2024-09-28 08:30:00,"""보급형에도 AI 기본""…삼성-애플 'AI 대전' 2라운드",https://n.news.naver.com/mnews/article/421/0007813400?sid=105,"""보급형에도 AI 기본""…삼성-애플 'AI 대전' 2라운드",[0.5211757 0.4788243],긍정,"['""', '보급형', '에도', 'AI', '기본""…삼성-애플', ""'"", 'AI', '대전', ""'"", '2라운드']"
2024-09-28 03:50:50,"""애플 MR 헤드셋 비전프로2 내년 하반기 양산…M5 칩 장착""",https://n.news.naver.com/mnews/article/001/0014953363?sid=104,"""애플 MR 헤드셋 비전프로2 내년 하반기 양산…M5 칩 장착""",[0.5208069  0.47919306],긍정,"['""', '애플', 'MR', '헤드셋', '비전프로2', '내년', '하반기', '양산…M5', '칩', '장착', '""']"
2024-09-27 21:51:39,"강연 나선 민희진 ""애플 등 많은 광고주들의 응원에 감사""",https://n.news.naver.com/mnews/article/277/0005477618?sid=103,"강연 나선 민희진 ""애플 등 많은 광고주들의 응원에 감사""",[0.51682264 0.48317736],긍정,"['강연', '나서', 'ㄴ', '민희진', '""', '애플', '등', '많', '은', '광고주들', '의', '응원', '에', '감사', '""']"
2024-09-27 21:21:11,"민희진, 강연 전 쏟아진 박수에 ""내 편 같아…애플 측도 응원""",https://n.news.naver.com/mnews/article/015/0005038147?sid=103,"민희진, 강연 전 쏟아진 박수에 ""내 편 같아…애플 측도 응원""",[0.51371145 0.48628855],긍정,"['민희진,', '강연', '전', '쏟', '아', '지', 'ㄴ', '박수', '에', '""', '내', '편', '같아…애플', '측도', '응원', '""']"
2024-09-27 15:45:11,‘애플 잡는 메타?’ AR 스마트안경에 거는 기대(영상),https://n.news.naver.com/mnews/article/018/0005845186?sid=101,‘애플 잡는 메타?’ AR 스마트안경에 거는 기대(영상),[0.5179782 0.4820218],긍정,"['‘애플', '잡', '는', '메타', '?', '’', 'AR', '스마트안경', '에', '것', '이', '는', '기', '대', '(', '영상', ')']"
2024-09-27 10:30:26,[써보니]카메라보다 더 카메라 같은 아이폰16 프로맥스,https://n.news.naver.com/mnews/article/277/0005477317?sid=105,[써보니]카메라보다 더 카메라 같은 아이폰16 프로맥스,[0.4950063 0.5049937],중립,"['[', '쓰', '어', '보', '니', ']', '카메라', '보다', '더', '카메라', '같', '은', '아이폰16', '프로맥스']"
2024-09-27 08:51:20,"""이젠 그만""...애플, 단종 예정 맥 모델 9종 공개",https://n.news.naver.com/mnews/article/030/0003243183?sid=104,"""이젠 그만""...애플, 단종 예정 맥 모델 9종 공개",[0.51783395 0.48216596],긍정,"['""', '이젠', '그', '만', '""', '...', '애플', ',', '단종', '예정', '맥', '모델', '9종', '공개']"
2024-09-27 08:25:14,"""애플표 스마트홈 기기, 정사각형 화면에 AI용 A18 칩 탑재""",https://n.news.naver.com/mnews/article/092/0002346849?sid=105,"""애플표 스마트홈 기기, 정사각형 화면에 AI용 A18 칩 탑재""",[0.52204263 0.47795737],긍정,"['""', '애플표', '스마트홈', '기', '이', '기', ',', '정사각형', '화면', '에', 'AI', '용', 'A18', '칩', '탑재', '""']"
2024-09-27 07:57:08,[김대호 박사의 오늘 기업·사람] 구글·MS·애플·비자·영풍·고려아연·MBK,https://n.news.naver.com/mnews/article/374/0000403581?sid=101,[김대호 박사의 오늘 기업·사람] 구글·MS·애플·비자·영풍·고려아연·MBK,[0.53453135 0.46546867],긍정,"['[김대호', '박사', '의', '오늘', '기업·사람]', '구글·MS·애플·비자·영풍·고려아연', '·', 'MBK']"
2024-09-26 10:39:13,"아이윈플러스 ""자회사 애플 스마트폰 출시 영향으로 공장 가동 확대""",https://n.news.naver.com/mnews/article/014/0005245682?sid=101,"아이윈플러스 ""자회사 애플 스마트폰 출시 영향으로 공장 가동 확대""",[0.5229573 0.4770427],긍정,"['아이윈플러스', '""', '자회사', '애플', '스마트폰', '출시', '영향', '으로', '공장', '가동', '확대', '""']"
2024-09-26 04:56:09,애플 음성비서 시리 성능 내년 초 개선 가능성,https://n.news.naver.com/mnews/article/005/0001727256?sid=101,애플 음성비서 시리 성능 내년 초 개선 가능성,[0.5106657  0.48933423],긍정,"['애플', '음성비', '서', '시', '이', '리', '성능', '내년', '초', '개', '선', '가능성']"
2024-09-26 00:01:37,"'애플페이는 독사과?'…카드업계, 하반기 확산 불투명한 이유",https://n.news.naver.com/mnews/article/629/0000324186?sid=101,"'애플페이는 독사과?'…카드업계, 하반기 확산 불투명한 이유",[0.5089131  0.49108687],중립,"[""'"", '애플페이', '는', '독사', '과', ""?'"", '…카드업계,', '하반기', '확산', '불투명', '하', 'ㄴ', '이유']"
2024-09-25 21:28:44,EU 'AI법 준수 협약'…애플·메타는 불참,https://n.news.naver.com/mnews/article/215/0001181055?sid=104,EU 'AI법 준수 협약'…애플·메타는 불참,[0.5157338  0.48426628],중립,"['EU', ""'"", 'AI', '법', '주', 'ㄴ', '수', ""협약'…애플·메타"", '는', '불참']"
2024-09-25 21:24:19,EU AI법 준수협약에 삼성 등 115개사 참여…애플·메타 ‘불참’,https://n.news.naver.com/mnews/article/018/0005843465?sid=105,EU AI법 준수협약에 삼성 등 115개사 참여…애플·메타 ‘불참’,[0.5153869 0.4846131],중립,"['EU', 'AI', '법', '준수협약', '에', '삼성', '등', '115개사', '참여…애플·메타', '‘불참’']"
2024-09-25 18:25:17,애플 안방 꿰찬 '갤워치 울트라',https://n.news.naver.com/mnews/article/014/0005245431?sid=105,애플 안방 꿰찬 '갤워치 울트라',[0.5180105  0.48198947],긍정,"['애플', '안방', '꿰찬', ""'갤워치"", '울트', '이', '라', ""'""]"
2024-09-25 16:25:07,"中선 파격 할인하면서...애플, 韓 최저가보장제 없앴다",https://n.news.naver.com/mnews/article/014/0005245299?sid=105,"中선 파격 할인하면서...애플, 韓 최저가보장제 없앴다",[0.52462995 0.47537002],부정,"['中선', '파격', '할인', '하', '면서', '...', '애플', ',', '韓', '최저가보장제', '없애', '었다']"
2024-09-25 14:49:10,"애플, 구형 맥 9개 단종…어떤 모델이 추가됐나",https://n.news.naver.com/mnews/article/092/0002346592?sid=105,"애플, 구형 맥 9개 단종…어떤 모델이 추가됐나",[0.52366495 0.47633508],긍정,"['애플', ',', '구형', '맥', '9개', '단종…어떤', '모델', '이', '추가', '되', '었나']"
2024-09-25 13:32:57,스포티파이·애플 높은 벽 실감했나…틱톡뮤직 접는다,https://n.news.naver.com/mnews/article/277/0005476240?sid=104,스포티파이·애플 높은 벽 실감했나…틱톡뮤직 접는다,[0.51933956 0.48066053],부정,"['스포티파이·애플', '높', '은', '벽', '실감했나…틱톡뮤직', '접', '는다']"
2024-09-25 10:40:16,"청각 장애인도 음악 감상한다… 애플, 아이폰 '음악 햅틱' 도입",https://n.news.naver.com/mnews/article/030/0003242373?sid=104,"청각 장애인도 음악 감상한다… 애플, 아이폰 '음악 햅틱' 도입",[0.52001876 0.4799812 ],긍정,"['청각', '장애인', '도', '음악', '감상한다…', '애플', ',', '아이폰', ""'"", '음악', ""햅틱'"", '도입']"
2024-09-25 08:00:00,삼성·애플 보급폰 잇단 출격 대기…이제 'AI'는 기본?,https://n.news.naver.com/mnews/article/003/0012801796?sid=105,삼성·애플 보급폰 잇단 출격 대기…이제 'AI'는 기본?,[0.5211209 0.4788791],긍정,"['삼성·애플', '보급폰', '잇달', 'ㄴ', '추', 'ㄹ', '격', '대기…이제', ""'"", 'AI', ""'"", '는', '기본', '?']"
2024-09-25 07:54:10,"""애플, 돈 나눠줄 테니 혁신 멈춰라"" 비밀계약 폭로에 '발칵'",https://n.news.naver.com/mnews/article/015/0005036593?sid=104,"""애플, 돈 나눠줄 테니 혁신 멈춰라"" 비밀계약 폭로에 '발칵'",[0.516985   0.48301503],긍정,"['""', '애플', ',', '돌', 'ㄴ', '나누', '어', '주', 'ㄹ', '테', '이', '니', '혁신', '멈추', '어라', '""', '비밀계약', '폭로', '에', ""'발칵"", ""'""]"
